datetime,UTM ZONE,UTM LONGITUDE,UTM LATITUDE,ELEVATION,PRESSURE [hPa],AIR TEMPERATURE [degC],AIR RELATIVE HUMIDITY [%],ACCUMULATION CHAMBER,ACK,CO2_LLIMIT [sec],CO2_RLIMIT [sec],CO2_LCONC [ppm],CO2_RCONC [ppm],CO2_SLOPE [ppm/s],CO2_SLOPE_ABS_ERR [ppm/s],CO2_r^2,CO2_FLUX [mol/m2/day],CO2_R^2
2025-12-16 14:20:37,20,643010.9289304501,1774719.3309055762,1289.0,87111.0,298.59,,B,0.5915997085536805,16,101,490.182007,526.059998,0.41117244075663645,0.004343824877538788,,0.24324949611693159,0.9375686274345044
2025-12-16 13:46:31,20,642980.2612951257,1774364.736562197,1406.0,86031.0,297.71999999999997,,B,0.5859724146803784,25,79,475.954987,482.60199,0.015189026695526017,0.008494119857293755,,0.00890035064942211,0.016009721151966083
2025-12-16 12:52:40,20,643056.1925857456,1774187.9727587018,1412.0,85919.0,299.59,,B,0.5815567643636201,22,137,562.896973,663.210999,0.9718478219274984,0.00277280786578829,,0.5651846747739877,0.9747613121928727
2025-12-16 12:58:54,20,643066.914293689,1774134.8215995424,1402.0,85987.0,299.54999999999995,,B,0.5820947523034058,83,144,487.759003,486.132996,-0.008602372088336962,0.007096751300839202,,-0.005007395649982235,0.003264612764383945
2025-12-16 13:03:10,20,643064.945579968,1774141.4476087396,1406.0,85985.0,300.09999999999997,,B,0.5810144198764832,0,57,484.234009,489.139008,0.02510354824817809,0.007843559449395358,,0.014585523522256498,0.018571124850696008
2025-12-14 14:01:00,20,643022.4669450892,1774158.102301854,1396.0,85994.0,298.4,,B,0.5843856495272093,12,130,496.29599,527.156006,0.23116621707021742,0.0026686124980713397,,0.13509021991132686,0.8778905698417597
2025-12-14 14:05:00,20,643044.2067319418,1774121.9509141515,1393.0,86026.0,298.67999999999995,,B,0.5840550695719859,111,216,1268.51001,2651.870117,12.349306790618941,0.0031743232642579135,,7.212675236760744,0.9963420383595324
2025-12-14 14:12:00,20,643018.031732956,1774149.0007929797,1409.0,85990.0,299.4,,B,0.5824067018163461,18,109,491.645996,487.769012,0.03916000257386221,0.003925857565977962,,0.022807047942162713,0.16257008595840272
2025-12-14 14:16:00,20,643023.115279585,1774173.7074514779,1415.0,85966.0,299.25,,B,0.582536002516902,38,100,517.353027,513.827026,-0.09535041330645161,0.006928424943421164,,-0.05554504860587474,0.24853936296114232
2025-12-14 14:19:00,20,643032.877371557,1774169.7871919777,1403.0,85931.0,299.21,,B,0.5823766749808246,25,131,492.838013,520.507996,0.36990877558337776,0.0031299249481165034,,0.21542624277047556,0.4748289844951251
2025-12-14 14:23:00,20,643042.1179969562,1774180.3580901558,1412.0,85886.0,299.84,,B,0.5808486954745169,65,183,3723.580078,4075.879883,3.5528646932559487,0.002668612498071341,,2.0636768222751876,0.8681830599922583
2025-12-14 14:43:00,20,643063.1559551515,1774136.8996105066,1407.0,85959.0,299.4,,B,0.5821967401027015,67,141,565.778992,605.679993,0.32856121880511735,0.005333807470626648,,0.19128727051250974,0.49057844650499105
2025-12-14 13:31:00,20,642984.5268785409,1774283.9931018245,1391.0,86100.0,299.44,,B,0.5830738282768059,54,122,768.679993,973.901001,3.060075472013155,0.0060445308893166865,,1.784249920282664,0.9900551098058428
2025-12-16 14:02:17,20,642953.830447803,1774514.4903254632,1315.0,86635.0,298.13,,B,0.5892748561349943,36,112,530.955994,530.291016,0.032209433434988284,0.00512732873665328,,0.018980209253592395,0.05628745860725215
2025-12-16 15:34:35,20,643224.7991278353,1773677.7695636342,1129.0,88862.0,299.35999999999996,,B,0.6019390580215803,139,232,983.447998,1809.420044,7.061822499931366,0.0038012236207652025,,4.250786783524288,0.31467376923067036
2025-12-16 15:43:13,20,643163.6780678235,1773681.4688559484,1122.0,88834.0,300.76,,B,0.5989483220627873,0,64,519.833008,565.742004,0.6985299887237765,0.0066110735668493134,,0.4183833646566436,0.848340908858052
2025-12-16 15:47:51,20,643153.1946185582,1773681.0692591965,1123.0,88834.0,300.91999999999996,,B,0.5986298595759799,9,64,1508.079956,3076.459961,28.779323244531756,0.008267569167031343,,17.22816223256578,0.9600084302850816
2025-12-16 15:52:22,20,643149.4725032068,1773694.101367625,1128.0,88846.0,301.37,,B,0.5978167409792596,20,129,1902.530029,4230.839844,22.32429054819107,0.003002752533591583,,13.345834620193674,0.8799105574215682
2025-12-14 15:46:00,20,643124.0110814164,1773693.3838349087,1124.0,88906.0,296.41999999999996,,B,0.6082103119070822,3,179,410.329987,522.077026,0.0714117953203717,0.0014710846192151315,,0.04343339030564799,0.11640551389016052
